LISTA DE IDS DISPONIBLES EN LA FUENTE
====================================

00sReplay.pluto  |  (PLUTO - 00s Replay)
1000XHORA.uy  |  (UY - 1000XHORA)
1001FMandAM1020KDKA.us  |  (US - 100.1 FM and AM 1020 KDKA)
1003JackFM.us  |  (US - 100.3 Jack FM)
1003TheBull.us  |  (US - 100.3 The Bull)
1007Star.us  |  (US - 100.7 Star)
1007TheWolf.us  |  (US - 100.7 The Wolf)
1010WINS.us  |  (US - 1010 WINS)
1015LITEFM.us  |  (US - 101.5 LITE FM)
1025KEZK.us  |  (US - 102.5 KEZK)
1025KSFM.us  |  (US - 102.5 KSFM)
1027TheBeach.us  |  (US - 102.7 The Beach)
1029TheWolf.us  |  (US - 102.9 The Wolf)
102JAMS.us  |  (US - 102 JAMS)
102Jamz.us  |  (US - 102 Jamz)
1037KEYN.us  |  (US - 103.7 KEYN)
1037KISS-FM.us  |  (US - 103.7 KISS-FM)
1037KISSFM.us  |  (US - 103.7 KISS FM)
1037KSON.us  |  (US - 103.7 KSON)
1041JACKFM.us  |  (US - 104.1 JACK FM)
1043JAMS.us  |  (US - 104.3 JAMS)
1043TheShark.us  |  (US - 104.3 The Shark)
1043WOMCDetroit.us  |  (US - 104.3 WOMC Detroit)
1045TheRiver.us  |  (US - 104.5 The River)
1051TheBuzz.us  |  (US - 105.1 The Buzz)
1053TheBuzz.us  |  (US - 105.3 The Buzz)
1053TheFan.us  |  (US - 105.3 The Fan)
1055TripleM.us  |  (US - 105.5 Triple M)
1057TheFan.us  |  (US - 105.7 The Fan)
1059SUNNYFM.us  |  (US - 1059 SUNNY FM)
1065TheBeat.us  |  (US - 106.5 The Beat)
1065TheEnd.us  |  (US - 106.5 The End)
1065TheWolf.us  |  (US - 106.5 The Wolf)
1067TheFan.us  |  (US - 106.7 The Fan)
1077TheEnd.us  |  (US - 107.7 The End)
1080TheFan.us  |  (US - 1080 The Fan)
1080WTICNEWSTALK.us  |  (US - 1080 WTIC NEWSTALK)
1250AMTheFan.us  |  (US - 1250AM The Fan)
13C.cl  |  (CL - 13C)
13TV.es  |  (ES - 13 TV)
14KJZZ.us  |  (US - 14 KJZZ Salt Lake City UT)
1stWave.sxm  |  (SXM - 1st Wave)
23NewsWVUA.us  |  (US - 23News WVUA Tuscaloosa Birmingham AL)
24/7CanaldeNoticias.ar  |  (AR - 24/7 Canal de Noticias)
24/7Laughs.paramount+  |  (PARAMOUNT+ - 24/7 Laughs)
24Horas.cl  |  (CL - 24 Horas)
